employeenumber,age,gender,maritalstatus,education,educationfield
1070,54,Female,Married,4,Life Sciences
1071,56,Female,Married,3,Medical
1073,36,Female,Single,5,Medical
1074,55,Male,Single,1,Medical
1076,43,Male,Divorced,3,Medical
1077,20,Female,Single,3,Marketing
1079,21,Female,Single,3,Life Sciences
1080,46,Female,Divorced,4,Life Sciences
1081,51,Male,Married,4,Life Sciences
1082,28,Male,Single,2,Technical Degree
1083,26,Male,Married,2,Medical
1084,30,Male,Married,3,Other
1085,41,Female,Married,2,Technical Degree
1088,38,Female,Married,1,Life Sciences
1092,40,Male,Married,4,Technical Degree
1094,27,Male,Married,5,Life Sciences
1096,55,Male,Married,1,Life Sciences
1097,28,Female,Single,3,Other
1098,44,Male,Married,2,Medical
1099,33,Male,Divorced,3,Life Sciences
1100,35,Male,Single,3,Technical Degree
1101,33,Female,Single,4,Medical
1102,28,Male,Divorced,2,Life Sciences
1103,34,Male,Single,1,Life Sciences
1105,37,Female,Divorced,4,Life Sciences
1106,25,Male,Married,1,Technical Degree
1107,26,Male,Divorced,3,Medical
1108,33,Male,Single,3,Medical
1109,42,Male,Married,2,Medical
1111,28,Male,Divorced,3,Medical
1113,50,Male,Single,4,Other
1114,33,Female,Married,3,Life Sciences
1115,34,Male,Married,4,Life Sciences
1116,48,Male,Single,4,Medical
1117,45,Female,Married,4,Life Sciences
1118,52,Male,Single,4,Life Sciences
1119,38,Male,Divorced,4,Marketing
1120,29,Female,Divorced,4,Life Sciences
1121,28,Female,Divorced,3,Medical
1124,46,Male,Married,1,Marketing
1125,38,Male,Single,2,Marketing
1126,43,Female,Married,3,Life Sciences
1127,39,Male,Divorced,3,Life Sciences
1128,40,Male,Single,3,Medical
1131,21,Female,Single,1,Technical Degree
1132,39,Male,Single,3,Life Sciences
1133,36,Male,Single,4,Life Sciences
1135,31,Male,Married,3,Life Sciences
1136,28,Male,Married,1,Life Sciences
1137,35,Male,Divorced,2,Marketing
1138,49,Male,Married,4,Technical Degree
1140,34,Male,Single,2,Life Sciences
1143,29,Female,Divorced,3,Life Sciences
1148,42,Male,Single,3,Medical
1150,29,Male,Married,1,Medical
1152,38,Male,Married,3,Human Resources
1154,28,Male,Divorced,3,Life Sciences
1156,18,Male,Single,1,Medical
1157,33,Female,Single,4,Marketing
1158,41,Male,Married,4,Life Sciences
1160,31,Male,Married,3,Medical
1161,37,Female,Divorced,2,Medical
1162,27,Male,Married,3,Life Sciences
1163,34,Female,Married,1,Life Sciences
1164,35,Male,Single,4,Technical Degree
1165,29,Female,Married,1,Life Sciences
1166,40,Female,Single,4,Medical
1167,42,Male,Single,3,Life Sciences
1171,42,Male,Single,4,Marketing
1172,35,Male,Married,4,Medical
1173,24,Male,Single,3,Medical
1175,28,Female,Married,1,Life Sciences
1177,26,Male,Married,4,Medical
1179,30,Male,Married,3,Marketing
1180,40,Female,Married,2,Medical
1182,35,Male,Divorced,3,Life Sciences
1184,34,Male,Single,3,Medical
1185,35,Male,Married,4,Other
1188,43,Female,Single,3,Marketing
1190,32,Female,Divorced,1,Life Sciences
1191,56,Female,Divorced,4,Technical Degree
1192,29,Female,Married,1,Medical
1193,19,Male,Single,2,Life Sciences
1195,45,Female,Married,3,Medical
1196,37,Female,Married,3,Life Sciences
1198,20,Male,Single,3,Life Sciences
1200,44,Male,Single,4,Life Sciences
1201,53,Female,Divorced,2,Medical
1202,29,Female,Married,1,Life Sciences
1203,22,Male,Married,4,Life Sciences
1204,46,Female,Married,3,Marketing
1206,44,Male,Single,3,Life Sciences
1207,33,Male,Married,3,Human Resources
1210,41,Male,Divorced,2,Life Sciences
1211,30,Male,Divorced,4,Life Sciences
1212,40,Male,Married,4,Medical
1215,50,Female,Married,3,Medical
1216,28,Male,Married,4,Medical
1217,46,Male,Married,2,Life Sciences
1218,35,Male,Married,4,Life Sciences
1219,24,Female,Married,2,Life Sciences
1220,33,Female,Married,3,Medical
1221,36,Male,Divorced,4,Life Sciences
1224,30,Male,Divorced,4,Life Sciences
1225,44,Male,Single,4,Other
1226,20,Male,Single,3,Marketing
1228,46,Male,Divorced,4,Technical Degree
1231,42,Male,Married,5,Medical
1233,60,Male,Divorced,4,Marketing
1234,32,Female,Married,3,Other
1235,32,Female,Single,2,Life Sciences
1237,36,Female,Divorced,3,Technical Degree
1238,33,Male,Married,3,Medical
1239,40,Female,Divorced,3,Technical Degree
1240,25,Male,Single,4,Life Sciences
1241,30,Male,Married,3,Medical
1242,42,Female,Married,5,Medical
1243,35,Female,Married,2,Marketing
1244,27,Male,Married,3,Life Sciences
1245,54,Female,Divorced,4,Life Sciences
1246,44,Female,Married,1,Life Sciences
1248,19,Female,Single,3,Medical
1249,29,Female,Divorced,3,Life Sciences
1250,54,Male,Married,3,Life Sciences
1251,31,Male,Married,2,Medical
1252,31,Female,Single,3,Medical
1254,59,Female,Single,3,Life Sciences
1255,43,Male,Married,3,Life Sciences
1256,49,Male,Married,2,Medical
1257,36,Male,Married,3,Technical Degree
1258,48,Male,Single,2,Technical Degree
1259,27,Male,Divorced,2,Life Sciences
1260,29,Male,Divorced,3,Life Sciences
1263,48,Male,Single,3,Life Sciences
1264,29,Female,Divorced,3,Life Sciences
1265,34,Female,Married,3,Technical Degree
1267,44,Male,Married,3,Marketing
1268,33,Male,Divorced,5,Marketing
1269,19,Female,Single,3,Life Sciences
1270,23,Male,Married,2,Life Sciences
1273,25,Male,Single,1,Life Sciences
1275,26,Male,Single,2,Life Sciences
1277,45,Female,Single,3,Marketing
1278,55,Male,Divorced,1,Medical
1279,21,Female,Single,2,Life Sciences
1280,46,Female,Married,2,Marketing
1281,34,Female,Single,3,Marketing
1282,51,Male,Divorced,3,Life Sciences
1283,59,Male,Single,4,Medical
1285,34,Female,Divorced,3,Medical
1286,28,Male,Single,4,Medical
1288,44,Male,Divorced,2,Life Sciences
1289,34,Male,Married,3,Life Sciences
1291,35,Male,Married,1,Life Sciences
1292,42,Female,Married,4,Medical
1293,43,Female,Single,4,Marketing
1294,36,Female,Single,4,Life Sciences
1295,44,Female,Married,3,Medical
1296,28,Male,Married,3,Life Sciences
1297,51,Female,Single,2,Medical
1298,30,Female,Single,2,Medical
1299,29,Female,Divorced,3,Technical Degree
1301,28,Male,Single,3,Technical Degree
1303,25,Female,Single,3,Medical
1304,32,Male,Married,3,Medical
1306,45,Female,Single,3,Medical
1307,39,Female,Divorced,4,Medical
1308,58,Male,Divorced,4,Life Sciences
1309,32,Male,Married,2,Life Sciences
1310,39,Male,Single,3,Medical
1311,30,Female,Married,3,Technical Degree
1312,36,Female,Married,4,Technical Degree
1314,46,Female,Single,2,Life Sciences
1315,28,Female,Married,3,Life Sciences
1317,50,Female,Married,3,Life Sciences
1318,40,Male,Single,4,Marketing
1319,52,Male,Single,3,Life Sciences
1321,30,Female,Married,4,Medical
1322,39,Male,Single,2,Life Sciences
1324,31,Female,Divorced,4,Life Sciences
1329,41,Male,Single,2,Medical
1331,31,Female,Single,3,Life Sciences
1333,44,Male,Married,3,Life Sciences
1334,42,Male,Married,1,Life Sciences
1336,55,Female,Married,2,Medical
1338,56,Male,Single,4,Life Sciences
1340,40,Male,Divorced,2,Life Sciences
1344,34,Male,Divorced,3,Life Sciences
1346,40,Male,Single,3,Life Sciences
1349,41,Female,Divorced,3,Marketing
1350,35,Male,Single,4,Life Sciences
1352,51,Male,Divorced,3,Life Sciences
1355,38,Female,Divorced,2,Life Sciences
1356,34,Female,Single,2,Medical
1358,25,Male,Married,1,Medical
1360,58,Female,Married,4,Medical
1361,40,Male,Married,4,Life Sciences
1362,36,Female,Married,3,Marketing
1363,48,Male,Single,3,Life Sciences
1364,27,Female,Married,3,Medical
1367,51,Female,Single,2,Technical Degree
1368,18,Female,Single,3,Life Sciences
1369,35,Female,Married,3,Medical
1371,27,Male,Single,1,Life Sciences
1372,55,Male,Single,4,Marketing
1373,56,Male,Married,3,Life Sciences
1374,34,Female,Divorced,1,Technical Degree
1375,40,Female,Divorced,1,Medical
1377,34,Male,Married,3,Medical
1379,31,Female,Single,3,Life Sciences
1380,35,Female,Married,4,Marketing
1382,38,Male,Divorced,3,Life Sciences
1383,34,Female,Single,4,Technical Degree
1387,28,Male,Married,3,Life Sciences
1389,31,Male,Married,4,Medical
1390,39,Male,Married,4,Life Sciences
1391,51,Male,Married,3,Marketing
1392,41,Female,Divorced,3,Life Sciences
1394,37,Male,Married,1,Life Sciences
1395,33,Male,Married,1,Life Sciences
1396,32,Male,Married,1,Marketing
1397,39,Male,Married,2,Life Sciences
1399,25,Male,Married,1,Life Sciences
1401,52,Female,Married,2,Medical
1402,43,Female,Single,3,Medical
1403,27,Female,Married,3,Marketing
1405,27,Female,Single,4,Life Sciences
1407,26,Male,Single,1,Medical
1408,42,Female,Married,3,Human Resources
1409,52,Female,Married,4,Other
1411,37,Female,Single,3,Medical
1412,35,Male,Single,2,Life Sciences
1415,25,Male,Married,3,Technical Degree
1417,26,Male,Single,3,Other
1419,29,Male,Single,3,Other
1420,49,Male,Single,2,Life Sciences
1421,29,Female,Single,1,Other
1422,54,Female,Single,3,Medical
1423,58,Female,Married,3,Medical
1424,55,Male,Divorced,4,Medical
1425,36,Female,Single,4,Marketing
1427,31,Female,Single,4,Life Sciences
1428,30,Female,Divorced,4,Marketing
1430,31,Female,Single,5,Life Sciences
1431,34,Male,Divorced,4,Other
1433,31,Female,Single,3,Life Sciences
1434,27,Male,Married,1,Life Sciences
1435,36,Male,Single,4,Life Sciences
1436,36,Female,Married,4,Marketing
1438,47,Male,Married,3,Technical Degree
1439,25,Male,Married,2,Life Sciences
1440,37,Male,Single,2,Technical Degree
1441,56,Female,Married,2,Life Sciences
1443,47,Female,Married,4,Medical
1445,24,Female,Married,1,Medical
1446,32,Male,Married,5,Marketing
1447,34,Female,Married,3,Life Sciences
1448,41,Male,Married,5,Medical
1449,40,Male,Divorced,4,Other
1453,31,Male,Divorced,2,Life Sciences
1457,46,Male,Divorced,3,Marketing
1458,39,Female,Single,3,Life Sciences
1459,31,Female,Single,5,Life Sciences
1460,45,Male,Divorced,3,Medical
1461,31,Female,Single,2,Medical
1464,31,Male,Married,3,Life Sciences
1465,45,Male,Married,3,Technical Degree
1466,48,Male,Divorced,3,Marketing
1467,34,Female,Married,4,Technical Degree
1468,40,Male,Divorced,1,Medical
1469,28,Male,Single,3,Medical
1471,44,Male,Single,3,Life Sciences
1472,53,Male,Single,3,Medical
1473,49,Male,Married,4,Technical Degree
1474,40,Male,Divorced,3,Medical
1475,44,Male,Single,3,Life Sciences
1477,33,Male,Married,3,Medical
1478,34,Male,Single,3,Other
1479,30,Male,Married,1,Life Sciences
1480,42,Female,Single,2,Medical
1481,44,Female,Married,5,Marketing
1482,30,Male,Divorced,3,Technical Degree
1483,57,Male,Married,2,Life Sciences
1484,49,Male,Divorced,4,Life Sciences
1485,34,Male,Divorced,3,Medical
1486,28,Male,Married,3,Technical Degree
1487,29,Female,Single,3,Technical Degree
1489,34,Female,Single,4,Medical
1492,35,Male,Married,1,Life Sciences
1494,24,Male,Single,3,Medical
1495,24,Female,Married,2,Life Sciences
1496,44,Male,Single,1,Medical
1497,29,Male,Divorced,3,Life Sciences
1499,30,Male,Divorced,3,Life Sciences
1501,55,Male,Married,4,Life Sciences
1502,33,Female,Married,4,Medical
1503,47,Female,Married,3,Medical
1504,28,Male,Single,2,Medical
1506,28,Male,Divorced,3,Life Sciences
1507,28,Male,Single,3,Life Sciences
1509,49,Female,Married,2,Medical
1513,29,Female,Married,1,Life Sciences
1514,28,Male,Married,1,Life Sciences
1515,33,Male,Single,5,Life Sciences
1516,32,Male,Single,3,Medical
1520,54,Female,Divorced,4,Medical
1522,29,Male,Single,4,Technical Degree
1523,44,Male,Married,3,Life Sciences
1525,39,Female,Single,3,Life Sciences
1527,46,Female,Married,3,Life Sciences
1529,35,Female,Single,3,Life Sciences
1533,23,Male,Single,1,Life Sciences
1534,40,Male,Single,4,Life Sciences
1535,34,Male,Married,3,Technical Degree
1537,31,Female,Single,3,Life Sciences
1539,50,Male,Single,5,Medical
1541,34,Male,Married,2,Technical Degree
1542,42,Male,Married,3,Medical
1543,37,Male,Married,3,Medical
1544,29,Female,Married,1,Other
1545,33,Male,Single,3,Life Sciences
1546,45,Male,Married,3,Technical Degree
1547,42,Male,Married,3,Life Sciences
1548,40,Male,Married,2,Medical
1549,33,Male,Married,4,Life Sciences
1550,40,Male,Single,2,Medical
1551,24,Male,Divorced,2,Technical Degree
1552,40,Male,Divorced,2,Life Sciences
1553,45,Male,Divorced,4,Technical Degree
1554,35,Female,Married,4,Life Sciences
1555,32,Female,Married,2,Life Sciences
1556,36,Male,Single,4,Life Sciences
1557,48,Female,Divorced,4,Life Sciences
1558,29,Male,Married,3,Life Sciences
1560,33,Male,Married,4,Life Sciences
1562,30,Male,Married,3,Life Sciences
1563,38,Male,Married,4,Human Resources
1564,35,Male,Single,3,Medical
1568,30,Male,Married,4,Technical Degree
1569,35,Female,Divorced,3,Life Sciences
1572,53,Female,Married,5,Technical Degree
1573,38,Male,Married,3,Medical
1574,32,Male,Married,4,Technical Degree
1576,48,Female,Married,4,Other
1577,34,Male,Single,4,Medical
1578,55,Male,Married,5,Marketing
1580,34,Male,Married,4,Life Sciences
1581,26,Female,Married,3,Life Sciences
1582,38,Male,Married,3,Life Sciences
1583,38,Female,Single,3,Life Sciences
1585,36,Female,Single,4,Life Sciences
1586,29,Male,Single,1,Medical
1587,35,Female,Single,4,Medical
1588,39,Male,Married,3,Medical
1590,29,Male,Divorced,1,Life Sciences
1591,50,Male,Married,3,Marketing
1592,23,Male,Married,3,Technical Degree
1594,36,Male,Married,4,Life Sciences
1595,42,Male,Single,2,Other
1596,35,Male,Married,3,Life Sciences
1597,34,Male,Married,4,Technical Degree
1598,40,Female,Married,2,Life Sciences
1599,43,Male,Divorced,3,Technical Degree
1601,35,Male,Married,2,Life Sciences
1602,46,Male,Single,4,Life Sciences
1604,28,Male,Married,3,Medical
1605,22,Female,Married,2,Other
1606,50,Male,Married,5,Medical
1607,32,Female,Married,4,Other
1608,44,Female,Divorced,3,Medical
1609,30,Male,Married,3,Medical
1611,45,Female,Single,5,Medical
1612,45,Male,Married,3,Marketing
1613,31,Male,Single,4,Other
1614,36,Female,Married,4,Life Sciences
1615,34,Male,Divorced,4,Life Sciences
1617,49,Female,Married,4,Life Sciences
1618,39,Male,Married,5,Medical
1619,27,Male,Divorced,3,Other
1621,35,Male,Married,5,Life Sciences
1622,28,Female,Divorced,3,Medical
1623,21,Male,Single,1,Medical
1624,18,Female,Single,2,Medical
1625,47,Female,Married,4,Life Sciences
1627,39,Male,Divorced,2,Medical
1628,40,Female,Married,3,Life Sciences
1630,35,Female,Married,4,Life Sciences
1631,37,Male,Married,3,Life Sciences
1633,39,Female,Single,3,Medical
1635,45,Female,Divorced,2,Other
1638,38,Female,Married,2,Medical
1639,35,Male,Married,3,Medical
1640,37,Female,Married,3,Medical
1641,40,Female,Single,3,Life Sciences
1642,44,Male,Married,5,Human Resources
1644,48,Male,Married,5,Medical
1645,35,Male,Divorced,2,Medical
1646,24,Female,Single,1,Technical Degree
1647,27,Female,Married,3,Medical
1648,27,Male,Single,3,Medical
1649,40,Male,Single,3,Life Sciences
1650,29,Male,Single,3,Medical
1651,36,Female,Married,4,Life Sciences
1653,25,Male,Divorced,1,Life Sciences
1654,39,Male,Married,3,Medical
1655,49,Female,Married,4,Other
1656,50,Female,Divorced,5,Life Sciences
1657,20,Female,Single,3,Medical
1658,34,Female,Divorced,3,Life Sciences
1659,36,Male,Single,3,Life Sciences
1661,49,Female,Married,1,Life Sciences
1662,36,Female,Married,4,Medical
1664,36,Male,Divorced,2,Life Sciences
1665,54,Female,Married,5,Medical
1666,43,Male,Married,2,Life Sciences
1667,35,Male,Single,4,Other
1668,38,Male,Married,3,Life Sciences
1669,29,Male,Divorced,3,Medical
1670,33,Male,Divorced,4,Medical
1671,32,Male,Divorced,3,Medical
1673,31,Female,Married,4,Life Sciences
1674,49,Female,Divorced,3,Medical
1675,38,Female,Single,3,Medical
1676,47,Female,Divorced,4,Life Sciences
1677,49,Male,Single,3,Life Sciences
1678,41,Male,Single,2,Life Sciences
1680,20,Male,Single,1,Life Sciences
1681,33,Female,Divorced,3,Life Sciences
1682,36,Male,Married,4,Life Sciences
1683,44,Female,Divorced,3,Life Sciences
1684,23,Male,Single,1,Medical
1687,38,Female,Married,2,Medical
1689,53,Male,Married,4,Medical
1691,48,Female,Married,2,Medical
1692,32,Male,Single,4,Life Sciences
1693,26,Male,Single,3,Medical
1694,55,Male,Divorced,3,Technical Degree
1696,34,Male,Married,2,Medical
1697,60,Male,Divorced,4,Medical
1698,33,Male,Married,3,Medical
1700,37,Male,Divorced,4,Medical
1701,34,Female,Married,3,Life Sciences
1702,23,Male,Divorced,3,Life Sciences
1703,44,Female,Married,3,Life Sciences
1704,35,Male,Single,4,Medical
1706,43,Male,Married,3,Medical
1707,24,Male,Married,3,Medical
1708,41,Male,Single,3,Marketing
1709,29,Female,Married,4,Medical
1710,36,Female,Single,4,Life Sciences
1712,45,Male,Married,1,Life Sciences
1714,24,Male,Married,1,Human Resources
1716,47,Male,Married,3,Life Sciences
1718,26,Male,Married,4,Medical
1719,45,Female,Single,2,Technical Degree
1720,32,Male,Married,3,Life Sciences
1721,31,Male,Married,4,Life Sciences
1722,41,Male,Married,3,Human Resources
1724,40,Female,Married,2,Life Sciences
1725,24,Male,Divorced,1,Medical
1727,46,Male,Single,4,Life Sciences
1728,35,Male,Married,4,Life Sciences
1729,30,Male,Married,1,Life Sciences
1731,47,Male,Married,4,Marketing
1732,46,Male,Divorced,3,Life Sciences
1733,36,Male,Divorced,5,Marketing
1734,32,Male,Single,2,Life Sciences
1735,23,Female,Single,1,Medical
1736,31,Female,Single,1,Technical Degree
1737,39,Male,Married,3,Life Sciences
1739,32,Male,Married,3,Life Sciences
1740,40,Male,Single,4,Medical
1744,45,Female,Married,3,Life Sciences
1745,30,Female,Single,4,Technical Degree
1746,24,Male,Married,3,Medical
1747,30,Female,Divorced,3,Human Resources
1749,31,Male,Married,3,Technical Degree
1751,27,Female,Single,3,Medical
1752,29,Female,Single,3,Marketing
1753,29,Male,Single,3,Life Sciences
1754,30,Male,Divorced,2,Marketing
1755,34,Male,Married,4,Medical
1756,33,Female,Single,3,Marketing
1757,49,Female,Single,4,Marketing
1758,33,Female,Single,3,Life Sciences
1760,38,Female,Married,2,Medical
1761,31,Male,Married,4,Marketing
1762,29,Female,Divorced,3,Technical Degree
1763,30,Male,Married,3,Life Sciences
1764,32,Male,Single,4,Technical Degree
1766,38,Male,Married,3,Medical
1767,43,Male,Married,3,Technical Degree
1768,42,Male,Divorced,3,Medical
1770,55,Male,Married,3,Medical
1771,33,Male,Divorced,3,Technical Degree
1772,41,Male,Divorced,4,Life Sciences
1774,34,Male,Divorced,3,Life Sciences
1775,53,Female,Married,4,Medical
1778,43,Male,Single,3,Life Sciences
1779,34,Female,Single,2,Life Sciences
1780,21,Male,Single,1,Marketing
1782,38,Female,Married,2,Other
1783,22,Female,Married,1,Medical
1784,31,Female,Married,4,Marketing
1786,51,Female,Married,3,Technical Degree
1787,37,Male,Married,2,Marketing
1789,46,Male,Divorced,4,Medical
1790,36,Male,Married,3,Life Sciences
1792,44,Male,Divorced,2,Medical
1794,37,Male,Divorced,2,Other
1797,35,Male,Single,3,Life Sciences
1798,33,Male,Married,4,Life Sciences
1799,28,Male,Married,3,Life Sciences
1800,39,Male,Single,1,Medical
1801,46,Male,Single,2,Life Sciences
1802,40,Female,Married,2,Life Sciences
1803,42,Male,Married,3,Medical
1804,35,Male,Divorced,2,Medical
1805,38,Male,Divorced,3,Human Resources
1807,34,Male,Married,4,Life Sciences
1809,37,Male,Single,4,Medical
1812,39,Male,Divorced,3,Life Sciences
1813,43,Male,Single,3,Life Sciences
1814,41,Male,Single,3,Life Sciences
1815,41,Female,Divorced,1,Marketing
1816,30,Female,Single,3,Medical
1818,26,Female,Married,2,Medical
1821,46,Female,Married,2,Medical
1822,40,Female,Divorced,3,Life Sciences
1823,34,Male,Married,2,Technical Degree
1824,58,Male,Divorced,3,Medical
1826,35,Male,Married,4,Medical
1827,47,Female,Divorced,3,Life Sciences
1829,40,Female,Divorced,3,Life Sciences
1830,54,Female,Married,4,Medical
1833,31,Female,Married,4,Marketing
1834,28,Female,Married,3,Medical
1835,38,Female,Married,4,Marketing
1836,26,Male,Single,3,Medical
1837,58,Male,Married,4,Life Sciences
1839,18,Female,Single,3,Medical
1842,31,Male,Married,5,Human Resources
1844,29,Male,Divorced,3,Human Resources
1845,45,Female,Married,4,Life Sciences
1847,36,Female,Married,4,Other
1849,43,Male,Married,4,Life Sciences
1850,27,Female,Single,2,Life Sciences
1852,29,Male,Married,1,Medical
1853,32,Male,Single,4,Marketing
1854,42,Male,Married,4,Technical Degree
1856,47,Female,Single,4,Life Sciences
1857,46,Male,Divorced,2,Life Sciences
1858,28,Male,Divorced,2,Life Sciences
1859,29,Male,Divorced,1,Life Sciences
1860,42,Male,Single,3,Life Sciences
1862,32,Male,Single,4,Marketing
1863,46,Female,Divorced,3,Technical Degree
1864,27,Female,Married,1,Medical
1865,29,Male,Married,1,Medical
1866,43,Female,Married,3,Medical
1867,48,Male,Married,3,Life Sciences
1868,29,Male,Single,2,Life Sciences
1869,46,Female,Married,3,Life Sciences
1870,27,Female,Married,3,Life Sciences
1871,39,Male,Divorced,4,Other
1873,55,Male,Married,4,Technical Degree
1875,28,Female,Married,3,Medical
1876,30,Male,Single,3,Medical
1878,22,Male,Single,1,Life Sciences
1880,36,Female,Married,4,Technical Degree
1881,31,Male,Divorced,3,Life Sciences
1882,34,Male,Married,3,Life Sciences
1883,29,Male,Single,3,Life Sciences
1885,37,Male,Married,4,Medical
1886,35,Female,Married,2,Other
1888,45,Female,Married,2,Life Sciences
1890,36,Male,Single,1,Human Resources
1892,40,Male,Divorced,4,Life Sciences
1893,26,Female,Married,2,Life Sciences
1898,27,Female,Single,2,Medical
1900,48,Female,Divorced,3,Medical
1903,44,Male,Married,4,Life Sciences
1905,34,Male,Married,4,Technical Degree
1907,56,Male,Single,2,Life Sciences
1908,36,Male,Married,2,Marketing
1909,41,Female,Married,3,Marketing
1911,42,Male,Married,3,Medical
1912,31,Female,Divorced,2,Medical
1915,34,Female,Married,1,Medical
1916,31,Female,Divorced,3,Medical
1918,26,Male,Married,3,Other
1922,45,Male,Single,4,Medical
1924,33,Male,Single,4,Marketing
1927,28,Male,Married,2,Life Sciences
1928,29,Male,Single,3,Technical Degree
1929,39,Female,Married,4,Life Sciences
1931,27,Male,Married,4,Technical Degree
1932,34,Male,Married,4,Other
1933,28,Female,Single,2,Marketing
1934,47,Male,Married,4,Technical Degree
1935,56,Female,Married,5,Marketing
1936,39,Male,Married,2,Medical
1937,38,Female,Divorced,3,Medical
1938,58,Female,Married,3,Life Sciences
1939,32,Female,Single,2,Life Sciences
1940,38,Male,Divorced,2,Life Sciences
1941,49,Male,Married,1,Life Sciences
1943,42,Male,Divorced,4,Marketing
1944,27,Female,Married,3,Human Resources
1945,35,Male,Married,4,Medical
1947,28,Male,Single,3,Medical
1948,31,Male,Divorced,2,Medical
1949,36,Male,Married,4,Life Sciences
1950,34,Male,Single,3,Marketing
1951,34,Male,Divorced,4,Medical
1952,26,Male,Single,3,Medical
1954,29,Male,Married,3,Life Sciences
1955,32,Female,Divorced,4,Medical
1956,31,Male,Married,3,Life Sciences
1960,28,Male,Divorced,3,Technical Degree
1961,38,Male,Single,3,Life Sciences
1962,35,Female,Married,4,Life Sciences
1965,27,Male,Single,3,Marketing
1966,32,Male,Single,4,Life Sciences
1967,31,Male,Married,4,Marketing
1968,53,Male,Single,4,Life Sciences
1969,54,Female,Married,2,Life Sciences
1970,33,Male,Divorced,2,Life Sciences
1971,43,Male,Married,3,Life Sciences
1972,38,Male,Married,4,Other
1973,55,Male,Married,4,Human Resources
1974,31,Female,Divorced,1,Medical
1975,39,Male,Single,4,Marketing
1976,42,Male,Single,2,Life Sciences
1979,31,Female,Married,3,Medical
1980,54,Female,Single,3,Medical
1981,24,Male,Single,2,Life Sciences
1982,23,Male,Single,2,Other
1985,40,Female,Married,3,Technical Degree
1986,40,Female,Married,2,Marketing
1987,25,Female,Married,3,Human Resources
1989,30,Male,Married,2,Medical
1992,25,Male,Divorced,1,Other
1993,47,Male,Single,3,Medical
1994,33,Male,Divorced,2,Medical
1995,38,Male,Married,4,Life Sciences
1996,31,Male,Married,2,Life Sciences
1997,38,Male,Married,4,Life Sciences
1998,42,Male,Divorced,4,Life Sciences
1999,41,Male,Married,3,Life Sciences
2000,47,Female,Married,1,Medical
2003,35,Male,Married,4,Medical
2007,22,Male,Single,2,Life Sciences
2008,35,Male,Single,4,Medical
2009,33,Female,Married,2,Medical
2010,32,Female,Single,4,Life Sciences
2012,40,Male,Married,4,Life Sciences
2013,32,Male,Married,4,Medical
2014,39,Male,Single,1,Life Sciences
2015,38,Female,Married,3,Medical
2016,32,Female,Married,4,Marketing
2017,37,Female,Married,3,Life Sciences
2018,25,Female,Divorced,2,Other
2019,52,Male,Divorced,4,Life Sciences
2020,44,Male,Single,3,Medical
2021,21,Male,Single,1,Medical
2022,39,Male,Single,3,Life Sciences
2023,23,Male,Married,3,Marketing
2024,36,Female,Married,3,Medical
2025,36,Female,Divorced,2,Life Sciences
2026,56,Male,Divorced,4,Life Sciences
2027,29,Male,Married,4,Medical
2031,42,Male,Married,3,Life Sciences
2032,56,Male,Married,2,Technical Degree
2034,41,Female,Married,4,Life Sciences
2035,34,Female,Married,3,Marketing
2036,36,Male,Divorced,4,Marketing
2037,41,Male,Divorced,3,Life Sciences
2038,32,Male,Single,3,Technical Degree
2040,35,Female,Single,4,Life Sciences
2041,38,Female,Married,2,Life Sciences
2044,50,Male,Divorced,4,Life Sciences
2045,36,Female,Married,4,Marketing
2046,45,Female,Single,3,Life Sciences
2048,40,Male,Single,4,Life Sciences
2049,35,Male,Married,4,Life Sciences
2051,40,Female,Married,4,Medical
2052,35,Female,Married,4,Life Sciences
2053,29,Male,Married,2,Other
2054,29,Female,Single,4,Medical
2055,50,Male,Divorced,3,Marketing
2056,39,Female,Married,1,Marketing
2057,31,Male,Single,3,Medical
2060,26,Female,Single,3,Other
2061,36,Male,Married,2,Medical
2062,39,Male,Married,1,Medical
2064,27,Male,Married,3,Life Sciences
2065,49,Male,Married,3,Medical
2068,34,Male,Married,3,Medical
